target,source,flow
IE,IE,9
US,AU,10
US,null,5
US,US,998
GH,GB,4
UA,CA,11
US,CA,29
NG,NG,35
GB,GB,140
null,US,61
VU,US,6
IN,IN,52
HK,IR,2
undefined,GB,13
HT,US,14
ML,NG,1
null,NG,13
SY,US,34
GN,GB,1
LR,GB,3
US,GD,1
undefined,US,9
CA,CA,40
CN,US,14
US,IT,3
JP,JP,15
UA,UA,1
RU,UA,1
PS,IL,1
null,IL,1
ZA,ZA,40
PH,GB,2
US,MX,7
null,KW,1
SL,KW,1
LR,KW,1
AR,KW,1
MY,MY,11
MX,JP,2
NP,IN,1
FJ,IT,2
IQ,NG,2
NG,KE,3
MX,GR,4
NG,NL,1
US,TH,1
PK,GB,8
PS,TR,1
GB,TR,3
US,GB,27
PS,MY,1
GB,MY,1
JP,US,12
NZ,NZ,2
IQ,US,13
PH,PH,17
US,AQ,3
SY,GB,18
LR,NG,6
CL,CL,3
SL,NG,7
JP,GB,2
IN,US,2
HK,HK,2
GB,US,15
AU,AU,25
SL,US,13
null,GH,3
RO,TR,2
SS,US,5
undefined,GG,2
US,SE,5
IN,SE,2
HK,AU,3
IT,CA,1
HR,CA,1
IL,CA,1
SA,CA,1
EG,CA,3
US,DE,1
PS,NZ,3
EG,US,4
CU,AU,1
null,AU,4
PK,PK,34
IR,GB,7
CD,RW,1
CD,BI,1
CD,CD,1
IN,null,1
YE,ID,3
US,TR,5
undefined,LB,1
CN,LK,2
MY,ID,1
SO,US,2
UA,IN,4
ID,AU,4
LR,CA,6
GN,CA,3
SL,CA,3
GG,GG,1
NZ,null,1
NZ,AU,2
IT,IT,3
TN,TN,2
YE,US,7
US,DO,3
US,CU,1
IR,US,4
null,EC,1
undefined,CL,4
JP,AU,2
undefined,undefined,5
UA,GB,5
UA,NL,5
SY,AU,3
IR,MV,2
IQ,MV,2
US,MV,2
IL,DO,1
PS,DO,1
PS,IN,7
EG,QA,1
LY,US,9
IN,NP,2
US,AR,2
IQ,GB,11
null,JP,2
null,GB,14
PS,GB,5
LY,GB,2
SY,ID,3
LB,ID,1
IQ,IQ,1
UA,US,12
IL,null,2
null,SE,6
SV,SV,1
US,LB,1
PS,NL,1
PS,MX,3
IL,MX,2
MX,MX,3
HK,US,6
NZ,ZA,2
MX,US,11
BD,BD,3
BR,KE,1
BH,BH,1
PH,US,7
PH,QA,1
US,HK,2
US,NL,3
US,CN,1
TG,PH,1
RU,IN,5
VE,US,1
IL,US,17
PS,US,18
MM,GB,1
IE,AU,4
US,IE,1
ZA,KR,1
US,NG,8
PS,AU,7
IL,AU,3
RU,SG,1
ZA,MX,3
null,ZA,10
SY,FI,3
null,DK,2
IS,DK,2
DE,US,1
US,KE,1
null,CA,2
SL,IN,2
CF,MX,1
US,PR,1
LB,BR,2
RU,US,6
GB,CA,4
JP,TW,2
SL,GH,5
UA,AU,2
PK,IN,7
US,GR,1
NP,GB,2
RU,BR,4
PS,ID,4
FR,US,4
US,PK,2
GB,MT,2
IL,GB,3
JP,FR,1
HT,HT,1
PS,null,1
null,null,4
US,IN,14
US,MY,2
PG,IN,2
TR,DE,2
SY,DE,1
IL,BD,1
TR,AU,1
CA,IE,1
SY,JM,2
VA,IN,1
NZ,IN,6
null,IT,1
US,PT,1
UA,null,1
null,PK,2
PK,AE,2
IR,IL,2
YE,IL,2
NG,US,5
SY,FR,9
ML,US,4
HK,GB,2
JP,CA,3
SY,GH,1
null,ES,4
PK,null,2
IN,PK,2
YE,AR,1
CN,CA,1
VN,CA,1
CN,PH,3
VN,PH,3
AU,US,5
UG,UG,3
US,UG,4
AF,GB,1
IQ,null,1
MY,US,4
IL,ZA,2
IE,US,4
UA,DE,2
CY,CY,1
YE,null,2
ML,IE,1
null,IE,1
UA,NG,2
UA,GH,2
GB,IN,2
IQ,IN,2
IQ,SI,1
FR,SI,1
CA,US,3
TH,TH,1
SL,GB,2
EG,EG,2
null,UG,2
GB,CL,2
ET,SD,2
IS,IS,1
IS,DE,1
BR,GB,3
IT,DE,2
BR,ID,1
DE,ID,1
US,ES,6
AU,WS,4
GB,ZM,1
SY,CA,3
UA,JP,1
ZM,ZM,1
ZM,ZA,1
SK,GB,2
SD,US,2
PS,PK,12
GB,PK,1
UA,ID,6
LR,CD,1
US,ZA,3
CA,null,1
CU,US,1
CF,KR,1
PS,ZA,1
IE,GB,4
CR,US,2
MM,TH,1
PG,ID,1
ES,GB,1
SL,ID,1
US,ID,6
BE,US,2
IL,IN,3
SS,KE,3
SS,SS,3
NZ,US,4
IS,null,1
MW,GB,2
GB,NL,2
null,BR,4
SL,KE,2
GT,NG,2
PS,EG,2
MN,CA,3
PH,CA,1
NG,DO,1
RS,CA,1
LR,VE,1
GH,NG,1
ES,IE,2
FR,IN,2
DE,DE,2
UA,IT,2
ZA,DZ,2
ID,US,2
PK,US,2
FR,FR,3
US,JM,3
IL,JM,1
TZ,NL,1
null,ID,1
SY,MY,1
ID,ID,5
DO,US,1
LB,LB,2
AU,NG,1
JO,CA,1
IQ,CA,1
PS,CA,1
JO,JO,1
IQ,JO,1
PS,JO,1
IR,PK,2
TR,PK,2
ID,PK,2
MY,PK,2
MW,MW,1
SY,NG,1
YE,NG,1
IT,IE,2
DE,IE,2
GB,IE,3
GB,EG,2
LR,LR,2
SL,LR,2
RU,MY,2
UA,MY,2
GR,undefined,1
YE,MV,4
PR,PR,1
GM,ES,3
FR,NL,2
CO,CR,1
IQ,IE,1
SY,IE,1
RS,GB,3
AL,GB,3
SL,PK,1
US,CR,1
DZ,RW,4
null,RW,2
RW,RW,2
GR,GR,2
US,SV,1
KE,KE,2
LR,KE,2
US,BR,1
null,MY,1
AE,US,2
MZ,ZA,2
GU,undefined,1
GU,NG,1
SL,ZA,1
GH,GH,8
undefined,MX,1
CL,US,1
CO,US,1
ZM,US,1
undefined,CA,2
DE,GB,1
null,CD,1
SV,US,1
GT,US,1
HN,US,1
GN,ZA,2
NG,ZA,2
NG,undefined,2
GM,TZ,2
GM,US,1
ES,ES,1
LY,NG,1
RW,GB,1
NE,PH,1
null,KE,2
AM,US,4
null,undefined,1
ZW,undefined,1
BW,BW,2
ZA,BW,2
IT,US,2
PR,US,3
SY,TR,2
GB,DE,1
LR,ES,2
ZA,null,3
BW,null,1
null,NL,4
GM,null,1
GB,null,2
LR,null,1
AR,US,3
SS,MX,1
SY,SY,4
UA,ES,2
SD,NL,2
UG,null,1
CD,null,1
CN,IN,2
AG,TT,1
AG,BS,1
CI,null,1
null,LA,1
ID,JP,4
ZA,MZ,3
US,GH,3
null,LB,2
SL,AE,4
RU,ID,1
SE,SE,2
IS,US,1
RW,US,1
IL,NZ,1
TZ,GB,2
ID,MY,2
TZ,TZ,1
CD,DE,1
CN,MX,2
BR,DE,2
TR,TR,3
PS,LK,6
SS,DZ,4
UG,DZ,2
IQ,IR,1
IL,SE,2
BF,NG,3
CF,AU,1
SY,MX,1
US,FR,1
PS,SA,2
IL,SA,1
FR,UY,4
ID,CN,2
IT,BR,2
LR,US,2
KH,US,2
MN,MN,2
NP,NP,6
NG,TZ,2
LR,GH,3
NZ,CL,1
ZA,CL,1
MY,GB,1
MY,SA,1
IR,FR,1
IQ,FR,1
EG,IN,1
IL,BR,1
CO,NG,1
BY,DE,1
EG,MY,2
PS,BE,2
UA,BR,1
CN,GB,1
NE,GB,1
HK,NG,2
IT,GB,2
UA,KR,1
RU,KR,1
VA,null,1
SO,NL,1
